,Modulbezeichnung: ,engl. Modulbezeichnung: ,ggf. Modulniveau: ,Kürzel: ,ggf. Untertitel: ,ggf. Lehrveranstaltungen: ,Studiensemester: ,Semesterlage: ,Modulverantwortliche(r):  ,Dozent(in): ,Sprache: ,Zuordnung zum Curriculum:  ,Lehrform / SWS:  ,Arbeitsaufwand:  ,Kreditpunkte: ,Empfohlene Voraussetzungen: ,Angestrebte Lernergebnisse:  ,Inhalt:  ,Studien-/ Prüfungsleistungen: ,Medienformen: ,Literatur: 
170,Industriedesign-Designprojekt ,medienpädagogischer Projekte , , , , ,B.Sc. ab 3. Semester; M.Sc. ab 1. Semester ,Sommersemester ,Dr. Christian Rössl ,"Ing. habil. Bernhard Karpuschewski, apl. Prof. Dr.-Ing. habil. Dr.-",deutsch ,FIN: M.Sc. DIGIENG - Methoden der Informatik ,Seminar; Projekt ,2 SWS Übung ,12 ,CAx-Grundlagen oder gleichwertige Vorlesung , ,spezieller Probleme der Bildverarbeitung. Dies dient auch der , , , 
171,Informatik vermitteln - Entwicklung und Umsetzung ,Information Retrieval , ,IMCloud 1 , , ,B.Sc. ab 3. Semester ,Wintersemester ,"Professur für Praktische Informatik / Bildverarbeitung, ",Ing.E.h. Rüdiger Bähr ,deutsch ,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung ,Vorlesung; Übung ,Selbständiges Arbeiten: , , ,Lernziele und zu erwerbende Kompetenzen ,Vertiefung der Programmierkenntnisse. ,Unbenotete Leistung auf der Basis eines Projektberichts , , 
172,medienpädagogischer Projekte ,Informations- und Codierungstheorie , ,IMCloud 2 , , ,B.Sc. ab 4. Semester; M.Sc. ab 1. Semester ,Wintersemester ,Bildverste-hen ,"Prof. Dr. Jesko L. Verhey, FME weitere Lehrende: Prof. H. ",deutsch ,FIN: M.Sc. DKE - Applied Data Science ,Vorlesung; Übung ,Bearbeiten von Übungs- und Programmieraufgaben ,Voraussetzungen nach , ,"Vertiefung und Anwendung der Konstruktionsmethodik, ", , ,"Folien, Video, Tafel, Beispielprogramme ", 
173,Information Retrieval ,Information Technology in Organizations , ,IMCloud 3 , , ,B.Sc. ab 5. Semester; M.Sc. ab 1. Semester ,Sommersemester ,"Professur für Hochfrequenz- und Kommunikationstechnik, ",Rotten-gruber ,deutsch ,FIN: M.Sc. DKE (alt) - Bereich Applications ,Vorlesung; Übung ,180 h = 56 h Präsenzzeit + 124 h selbständige Arbeit ,Prüfungsordnung: ,Ingenieurinformatik II oder gleichwertige Vorlesung ,Ausbau der Fähigkeiten des Anwendens des methodischen ,Das Ziel dieses Pflichtfaches ist die Vermittlung vertiefender , , , 
174,Informations- und Codierungstheorie ,Information Visualization , , , , ,M.Sc. ab 1. Semester , ,Professur für Technische Informatik ,"Brennecke, Deml ",deutsch ,FIN: M.Sc. INF - Bereich Informatik ,Vorlesung; Übung , ,Für den erfolgreichen Abschluss des Moduls ist der Nachweis , ,"Entwerfens, der Grundregeln der Gestaltung, der ",Kenntnisse zu speziellen konstruktiven Sachverhalten. In den , , , 
175,Informationstechnologie in Organisationen ,In-Memory and Cloud-Technologies 1 , ,IPE 1 , , ,B.Sc. ab 5. Semester; M.Sc. ab 1. Semester ,Wintersemester ,Professur für Theoretische Informatik / Formale Sprachen / ,Dr. Georg Krempl ,deutsch ,FIN: M.Sc. INGINF - Bereich Informatik ,Seminar ,Präsenzzeiten: ,"von 180 CP aus dem Kern-, Pflicht- und Wahlpflichtbereich ", ,"Gestaltungsprinzipien und –richtlinien, ",Übungen sowie durch den anzufertigen Beleg werden die ,"Prüfung in schriftlicher Form, Umfang: 120 Minuten, benötigte ", ,Seite 48   Inhaltsverzeichnis 
176,Informationsvisualisierung ,In-Memory und Cloud-Technologies 2 , ,IDA , , ,B.Sc. ab 1. Semester , ,"Auto-matentheorie, Professur für Theoretische Informatik / ",Prof. Dr.-Ing. Rolf Findeisen (FEIT-IFAT) / Dr.-Ing. Jürgen Ihlow ,deutsch , ,Vorlesung ,• Wöchentliche Vorlesungen 2 SWS ,sowie 18 CP aus Praxisphasen notwendig , ,Erwerben von Führungs- und Teamarbeitsgemeinschaften durch ,Vorlesungsinhalte angewendet und vertieft. Dies geschieht mit ,Vorleistungen: , ,     
177,In-Memory und Cloud-Technologien 1 ,In-Memory und Cloud-Technologies 3 , ,IS , , ,B.Sc. ab 3. Semester ,Wintersemester ,Algorithmi-sche Geometrie ,(FEIT-IFAT) ,deutsch , ,Übung; Projekt ,Selbständiges Arbeiten: , , ,"die Bearbeitung von Aufgaben und des Beleges im Team, ",Hilfe konstruktiver Aufgabenstellungen aus der Praxis. Weiterhin ,Bearbeitung von zwei Drittel der Übungsaufgaben , , 
178,In-Memory und Cloud-Technologien 2 ,Innovative testing technology , ,WTM , , ,B.Sc. ab 2. Semester; M.Sc. ab 1. Semester , ,Professur für Theoretische Informatik / Formale Sprachen / ,Graham Horton ,englisch ,FIN: B.Sc. CV - WPF Computervisualistik ,Vorlesung; Übung ,• Vortrag vorbereiten/halten ,18 , ,Anwenden von Kenntnissen und Erfahrungen aus anderen ,werden Kenntnisse zur Arbeit in einem Entwicklerteam ,Erfolgreiche Präsentation in den Übungen , , 
179,In-Memory und Cloud-Technologien 3 ,Integrated Product Development 1 , , , , ,B.Sc. ab 5. Semester ,Sommersemester ,"Automatentheorie, Professur für Theoretische Informatik / ","FME, Prof. Dr. B. Schraven ",deutsch ,FIN: B.Sc. INF - WPF Informatik ,Vorlesung; Übung ,"Präsenszeit: 56 Stunden. Bearbeitung Übungsaufgaben,  Lesen ", , ,"Fachbereichen wie Werkstofftechnik, Fertigungslehre, ",vermittelt. ,Schein ,"Overhead, Beamer ","Mertens, P. (2005): Integrierte Informationsverarbeitung 1. 15. "
180,Innovative Mess-und Prüftechnik ,Intelligent Data Analysis , ,IIR , , ,M.Sc. ab 1. Semester , ,Algorithmische Geometrie ,Gunter Saake ,deutsch ,FIN: B.Sc. INGINF - WPF Informatik ,Vorlesung; Übung ,"wissenschaftlicher Texte, Nachbereitung der ",Voraussetzungen nach ,Software Engineering ,"Technische Mechanik, Maschinenelemente ", ,Bearbeitung von zwei Drittel der Übungsaufgaben , ,"Auflage, Berlin u. a. "
181,Integrierte Produktentwicklung 1 ,Intelligent Systems , , , , ,B.Sc. ab 5. Semester; M.Sc. ab 1. Semester ,Wintersemester ,Professur für Theoretische Informatik / Algorithmische ,Dr.-Ing. Christian Teutsch (Fraunhofer IFF) ,deutsch ,FIN: B.Sc. WIF - WPF Gestalten & Anwenden ,Vorlesung; Übung ,"Präsensveranstaltung,  Vorbereitung Prüfung = 94 Stunden. ",Prüfungsordnung: , , , ,Erfolgreiche Präsentation in den Übungen , , 
182,Intelligent Data Analysis ,Web and Text Mining , ,ITP , , ,M.Sc. ab 1. Semester ,jedes Semester ,Geometrie ,"HD Dipl.Designer, Dipl.-Ing. Thomas Gatzky ",--- ,FIN: M.Sc. VC - Visual Computing - Pflichtfächer ,Vorlesung; Übung , , , , ,Methodisch unterstütztes Entwerfen von Produkten und ,Erfolgreiche Teilnahme am mündlichen Kolloquium , , 
183,Intelligente Systeme ,Interactive Systems , ,ICG , , ,B.Sc. ab 1. Semester ,Wintersemester ,"HD Dipl.Designer, Dipl.-Ing. Thomas Gatzky ",FIN/ISG; Dr. Henry Herper ,englisch , ,Vorlesung; Übung ,Präsenzzeiten: ,6 ,Grundlagen der Fertigungslehre sowie der Automatisierungs- ,Lernziele und erworbene Kompetenzen ,Umweltsituationen , , , 
184,Intelligente Techniken: Web and Text Mining ,Interactive Information Retrieval , ,ICSE , , ,M.Sc. ab 2. Semester ,Wintersemester ,Professur für Theoretische Informatik ,Prof. Dr.-Ing. Andreas Nürnberger ,englisch , ,Vorlesung; Übung ,2 SWS Vorlesung , ,und Steuerungstechnik von Werkzeugmaschinen ,Kenntnisse zu Produkt- und Umweltdesignprozessen ,Klassische und computerunterstützte Visualisierungstechniken , , , 
185,Interaktive Systeme ,Intercultural Workshop: Studying at OvGU - Differences and , , , , ,M.Sc. ab 1. Semester ,Sommersemester ,Prof. Dr. Benjamin Noack ,Professur für Hochfrequenz- und Kommunikationstechnik ,englisch ,FIN: M.Sc. CV - Bereich Computervisualistik ,Blockveranstaltung ,1 SWS Übung und Praktikum ,Voraussetzungen nach , ,Fähigkeiten und Fertigkeiten zum zeichnerischen und ,Erlangung von Fertigkeiten bei der Anwendung der CAID-,Klausur (60 Minuten) , , 
186,Interaktives Information Retrieval ,Similarities in Turkish and German higher education , ,IDL , , ,M.Sc. ab 1. Semester ,Wintersemester ,Professur für Theoretische Informatik / Algorithmische ,Prof. Myra Spiliopoulou ,englisch ,FIN: M.Sc. INF - Bereich Informatik ,Projekt ,Selbstständiges Arbeiten: ,Prüfungsordnung: , ,computerunterstützten Designentwurf ,Software Alias/Wavefront Studio Tools , , , 
187,Intercultural Workshop: Studying at OvGU - Differences and ,Interdisciplinary Team Project , ,ItR , , ,B.Sc. ab 4. Semester ,Sommersemester ,Geometrie ,Dr.-Ing. Steffen Oeltze-Jafra ,englisch ,FIN: M.Sc. INGINF - Bereich Informatik ,Vorlesung; Übung ,"Übungsaufgaben, Prüfungsvorbereitung ", ,Einführung in die Logik ,Kompetenzen zu entwurfsmethodischen Vorgehensweisen im , , , ,Seite 50   Inhaltsverzeichnis 
188,Similarities in Turkish and German higher education ,Introduction to Computer Graphics , ,ItS , , ,B.Sc. ab 5. Semester; M.Sc. ab 1. Semester ,Wintersemester ,Professur für Theoretische Informatik / Algorithmische ,Hon. Prof. Dr. Alexander Zeier Veranstaltungsort: Magdeburg ,englisch ,FIN: M.Sc. VC - Visual Computing - Wahlpflichtfächer ,Vorlesung; Übung; Tutorium ,120 h (42 h Präsenzzeit + 78 h selbstständige Arbeit) ,5 , ,Industriedesign in interdisziplinären Teams , ,Seite 84   Inhaltsverzeichnis , ,     
189,Interdisziplinäres Teamprojekt ,Introduction to Computer Science for Engineers , ,ISEE , , ,B.Sc. ab 3. Semester ,Sommersemester ,Geometrie ,Hon. Prof. Dr. Alexander Zeier Veranstaltungsort: Kronberg ,englisch , ,Vorlesung; Übung , , , , ,Seite 47   Inhaltsverzeichnis ,     , , 
190,Introduction to Computer Graphics ,Introduction to Computer Vision , , , , ,B.Sc. ab 3. Semester; M.Sc. ab 1. Semester ,Sommersemester ,Professur für Technische Informatik ,(Frankfurt am Main) ,deutsch , ,Vorlesung; Übung , ,Voraussetzungen nach ,Advanced Fluid Dynamics , ,     , ,"Overhead, Beamer ", 
191,Introduction to Computer Science for Engineers ,Introduction to Deep Learning , ,ITOM , , ,M.Sc. ab 1. Semester , ,Professur für Technische Informatik ,Hon. Prof. Dr. Alexander Zeier Veranstaltungsort: Magdeburg ,englisch ,FIN: M.Sc. CV - Schlüssel- und Methodenkompetenzen ,Vorlesung; Übung ,"Präsenzzeiten: wöchentliche Vorlesung 2 SWS, wöchentliche ",Prüfungsordnung: , ,Schaffung eines Grundverständnisses für Funktionen und , , , ,"Ian Goodfellow, Yoshua Bengio & Aaron Courville: “Deep "
192,Introduction to Computer Vision ,Introduction to Robotics , ,IFOR , , ,B.Sc. ab 6. Semester ,jedes Semester ,Prof. Dr. Michael Friebe ,"Prof. Molitor, FMB-IFQ ",deutsch ,FIN: M.Sc. INF - Schlüssel- und Methodenkompetenzen ,Vorlesung; Übung ,"Übun-gen 1 SWS, ", , ,Zusammenhänge in betrieblichen Anwendungssystemen entlang ,Komplexe Visualisierungen mit Schnittstellen zu CAD-Systemen , , ,"Learning”, MIT Press, 2016. "
193,Introduction to Deep Learning ,Introduction to Simulation , ,IT-PM , , ,M.Sc. ab 1. Semester ,Wintersemester ,Prof. Dr.-Ing. Thilo Pionteck (FEIT-IIKT) ,Professur für Maschinenbauinformatik ,deutsch ,FIN: M.Sc. INGINF - Schlüssel- und Methodenkompetenzen ,Vorlesung; Übung ,"Selbständiges Arbeiten: Nachbereitung der Vorlesung, Lösung ",Bachelor: 5 ,Kenntnisse der Grundzüge der Algorithmischen Geometrie ,der Wertschöpfungskette ,und zur Bildgestaltung ,schriftliche Prüfung , , 
194,Introduction to Robotics ,Introduction to Software Engineering for Engineers , ,IT-PM , , ,B.Sc. ab 3. Semester ,Wintersemester ,Studienfachberater INGINF ,Prof. Dr. Rudolf Kruse ,deutsch ,FIN: M.Sc. WIF - Schlüssel- und Methodenkompetenzen ,Vorlesung; Übung ,der Übungsaufgaben und Prüfungsvorbereitung ,Master: 6 , ,Praktische Erfahrungen mit prozessorientierter ,Komplexer Entwurf von Produkten-Mitarbeit in einem inter-, , , 
195,Introduction to Simulation ,Investition & Finanzierung , ,ITS-CPS , , ,B.Sc. ab 3. Semester ,Wintersemester ,"Prof. Dr. Jesko L. Verhey, FME weitere Lehrende: Prof. H. ",Prof. Dr.-Ing. Sanaz Mostaghim ,englisch , ,Vorlesung; Übung ,3 SWS = 150h (42h Präsenzzeit +108h selbständige Arbeit) , , ,Informationsverarbeitung an einem konkreten ERP-System ,disziplinären Team (IPE-Projekt/Designprojekt) , , , 
196,Introduction to Software Engineering for Engineers ,IT Operations Management , , , , ,B.Sc. ab 3. Semester ,Sommersemester ,Rotten-gruber ,Prof. Myra Spiliopoulou ,englisch , ,Vorlesung; Übung , ,Voraussetzungen nach , , , ,Prüfung: mündlich (30 min) ,Powerpoint , 
197,Investition & Finanzierung ,IT-Forensics , , , , ,M.Sc. ab 1. Semester ,Sommersemester ,Deml ,Prof. Dr. Bernhard Preim ,deutsch ,FIN: B.Sc. CV - WPF Informatik ,Vorlesung; Übung , ,Prüfungsordnung: , ,• confidently apply DL techniques to develop a solution for a ,Grundlagen der Wertschöpfungskette nach Porter , , , 
198,IT Operations Management ,IT Project Management , , , , ,M.Sc. ab 3./ 4. Semester ,Sommersemester ,Professur für Angew. Informatik / Wirtschaftsinformatik II – ,Dr.-Ing. Tatiana Gossen ,deutsch ,FIN: B.Sc. CV - Schlüssel- und Methodenkompetenzen - ,Vorlesung; Übung ,Präsenzzeiten: , ,Computergraphik I Mathematik I bis III ,given problem ,Prozesse der betrieblichen InformationsverarbeitungForschung , , , 
199,IT-Forensik ,IT Project Management (dual) , , , , ,M.Sc. ab 3./ 4. Semester , ,KMD ,Prof. Mesut Günes ,deutsch ,Wissenschaftliches Seminar ,Vorlesung; Projekt ,Vorlesung: 2 SWS ,3 , ,• follow recent DL publications and critically assess their ,und EntwicklungVertriebEinkaufProduktionLogistikFallstudien zu ,Seite 88   Inhaltsverzeichnis , ,Seite 52   Inhaltsverzeichnis 
200,IT-Projektmanagement ,IT-Security of Cyber-Physical Systems , ,KE I , , ,M.Sc. ab 1. Semester ,Wintersemester ,Prof. Dr.-Ing. Rolf Findeisen (FEIT-IFAT) / Dr.-Ing. Jürgen Ihlow ,angebotsspezifisch ,deutsch ,FIN: B.Sc. INF - WPF Informatik ,Vorlesung; Übung ,Übung: 1 SWS (14-tägig) , , ,contributions ,komplexen Geschäftsprozessen mit SAP R/3 Enterprise ,     , ,     
201,IT-Projektmanagement (dual) ,Knowledge Engineering and Digital Humanities , ,KE II , , ,M.Sc. ab 2. Semester ,Sommersemester ,(FEIT-IFAT) ,Prof. Dr. Holger Theisel ,deutsch ,FIN: B.Sc. INF - Schlüssel- und Methodenkompetenzen - ,Seminar ,Selbstständiges Arbeiten: ,Voraussetzungen nach , ,• formulate hypotheses and design & conduct DL experiments , , , , 
202,IT-Security of Cyber-Physical Systems ,Cognitive Systems , , , , ,B.Sc. ab 3. Semester ,Sommersemester ,Professur für Simulation ,Dr.-Ing. Christian Braune ,deutsch ,Wissenschaftliches Seminar ,Vorlesung; Übung ,Nachbereitung der Vorlesung ,Prüfungsordnung: , ,to validate them , , , ,Siehe www.sim.ovgu.de 
203,Knowledge Engineering and Digital Humanities ,Displacement Pumps and Compressors , ,PLM , , ,B.Sc. ab 4. Semester , ,"FME, Prof. Dr. B. Schraven ",Prof. Dr. Klaus Tönnies ,deutsch ,FIN: B.Sc. INGINF - WPF Informatik ,Vorlesung; Übung ,"Vor- und Nachbereitung der Inhalte der Übung, Musterlösungen ", , ,• document progress & design decisions for reproducibility and ,Seite 49   Inhaltsverzeichnis , , , 
204,Kognitive Systeme ,Kommunikationstechnik für Digital Engineering , ,LR NL , , ,B.Sc. ab 5. Semester , ,Professur für Praktische Informatik / Datenbanken und ,Prof. Dr. Sebastian Stober ,deutsch ,FIN: B.Sc. INGINF - Schlüssel- und Methodenkompetenzen - ,Vorlesung; Übung ,verfügbar ,5 , ,transparency ,     ,"Prüfung: mündlich 30 Minuten, Erforderliche ", , 
205,Kolbenpumpen und -kompressoren ,Konstruktionselemente I , ,LGM , , ,M.Sc. ab 1. Semester ,Sommersemester ,Informationssysteme ,Dr. Ch. Steup ,englisch ,Wissenschaftliches Seminar ,Vorlesung; Übung ,120 h (42 h Präsenzzeit + 78 h selbstständige Arbeit) , ,Vorlesung Visualisierung , , ,Prüfungsvorleistungen werden in der Vorlesung bekannt , , 
206,Kommunikationstechnik für Digital Engineering ,Konstruktionselemente II , ,L-Systeme , , ,B.Sc. ab 6. Semester , ,Professur Visualization ,Graham Horton ,deutsch ,FIN: B.Sc. WIF - WPF Gestalten & Anwenden ,Vorlesung; Übung , ,Voraussetzungen nach , ,Die Teilnehmer kennen Markov-Ketten sowie ausgewählte , ,gegeben. , , 
207,Konstruktionselemente I ,mechanical engineering design , ,LiquiD , , ,B.Sc. ab 6. Semester; M.Sc. ab 1. Semester ,Sommersemester ,"HD Dipl.Designer, Dipl.-Ing. Thomas Gatzky ",Dr.-Ing. Christian Braune ,deutsch ,FIN: B.Sc. WIF - Schlüssel- und Methodenkompetenzen - ,Vorlesung; Übung; Tutorien , ,Prüfungsordnung: , ,Anwendungen und Lösungsverfahren ,• artificial neural network fundamentals (gradient descent & , , , 
208,Konstruktionselemente II ,"Konzepte, Methoden und Werkzeuge für das Product Lifecycle ", ,Logik , , ,B.Sc. ab 5. Semester ,Sommersemester ,FIN/ISG; Dr. Henry Herper ,Professur für Finanzierung und Banken ,deutsch ,Wissenschaftliches Seminar ,Praktikum ,10 Wochen bzw. bei Erstellung in einer integrierten Praxiszeit 20 , , ,Die Teilnehmer kennen nicht-Markovsche stochastische ,"backpropagation, activation functions) ", , , 
209,Konstruktionstechnik I ,Management , ,Logik-WInf , , ,B.Sc. ab 5. Semester; M.Sc. ab 1. Semester ,Sommersemester ,Prof. Dr.-Ing. Andreas Nürnberger ,Dr.Ing. Naoum Jamous ,deutsch ,FIN: M.Sc. CV - Bereich Informatik ,Vorlesung; Übung ,Wochen ,5 , ,Prozesse und können diese auf unterschiedliche Weise , ,"Prüfung: Hausarbeit, Internetprojekt, Videoprojekt ","Powerpoint, Video, Softwaredemonstrationen ",Seite 54   Inhaltsverzeichnis 
210,"Konzepte, Methoden und Werkzeuge für das Product Lifecycle ",Lab Rotation in neurobiological learning research , ,Logik2 , , ,B.Sc. ab 1. Semester ,Wintersemester ,Professur für Hochfrequenz- und Kommunikationstechnik ,"Prof. Dr.-Ing. Jana Dittmann, FIN-ITI ",deutsch ,FIN: M.Sc. INF - Bereich Informatik ,Vorlesung ,eigenständige Erstellung einer wiss. Arbeit + Kolloquium , ,Modul Einführung in die Informatik ,modellieren und simulieren , , , ,     
211,Management ,Learning Generative Models , ,L4 , , ,B.Sc. ab 1. Semester , ,Lehrstuhl Angewandte Informatik / Wirtschaftsinformatik II (Ar-,Professur für Angewandte Informatik / Wirtschaftsinformatik I ,deutsch ,FIN: M.Sc. INGINF - Bereich Informatik ,Vorlesung; Seminar , ,Voraussetzungen nach , ,Die Teilnehmer kennen verborgene Markovsche und nicht-,Seite 51   Inhaltsverzeichnis , , , 
212,Laborrotation in Neurobiologischer Lernforschung ,Lindenmayer-Systems , ,L3 , , ,B.Sc. ab 3. Semester ,Wintersemester ,beitsgruppe KMD) ,Professur für Angewandte Informatik / Wirtschaftsinformatik I ,deutsch ,FIN: M.Sc. WIF - Bereich Informatik ,Vorlesung; Übung , ,Prüfungsordnung: , ,Markovsche Prozesse ,     , , ,"Brian W. Kernighan, Dennis Ritchie. The C Programming "
213,Learning Generative Models ,"Liquid Democracy -> ""Digitization of Politics - Politics of ", ,LPF , , ,B.Sc. ab 5. Semester ,Wintersemester ,Professur für Angewandte Informatik / Visualisierung ,Prof. Dr.-Ing. Jana Dittmann ,deutsch , ,Vorlesung; Übung ,20 Wochen , ,Technische Informatik ITechnische Informatik II ,Die Teilnehmer kennen ausgewählte Forschungsthemen des , ,Vorlesung: Klausur 2Std. , ,Language. 2. Auflage (7. Februar 2000). Markt+Technik Verlag. 
214,Lindenmayer-Systeme ,"Digitization"" ", ,LSP , , ,B.Sc. ab 3. Semester ,Sommersemester ,Professur für Angewandte Informatik / Wirtschaftsinformatik ,Prof. Dr. Ernesto De Luca ,deutsch , ,Vorlesung; Übung ,eigenständige Erstellung einer wiss. Arbeit + Kolloquium ,Vorlesung: 3 ,Programmierparadigmen ,Lehrstuhls ,"• network architectures (Convolutional Neural Networks, ",Praktikumsschein , ,ISBN 978-0131103627Ben Klemens. C im 21. Jahrhundert. 2. 
215,"Liquid Democracy -> ""Digitalisierung der Politik - Politik der ",Logic , , , , ,B.Sc. ab 4. Semester ,Sommersemester ,Professur für Angewandte Informatik / Wirtschaftsinformatik ,Prof. Dr. rer. nat. Andreas Wendemuth (FEIT-IESK) ,deutsch ,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung ,Vorlesung; Übung , ,Praktikum: 2 ,Algorithmen und Datenstrukturen ,Die Teilnehmer können die erlernten Modelle und Verfahren ,"Recurrent/Recursive Neural Networks, Auto-Encoders) ", ,"Beamer, Overhead, Tafel ", 
216,"Digitalisierung"" ",Logic for business informatics , ,MGLIIC , , ,B.Sc. ab 5. Semester ,Sommersemester ,Professur für Angewandte Informatik / Wirtschaftsinformatik ,"Dr. Schulze, FMB-IMS ",englisch , ,Vorlesung; Übung ,Projektspezifisch , , ,implementieren und auf Problemen aus den ,• regularization techniques , , , 
217,Logik ,Logic II: Theory and Applications , , , , ,B.Sc. ab 4. Semester ,Sommersemester ,"Prof. Molitor, FMB-IFQ ","Prof. Omar, FEIT-IESK ",deutsch , ,Vorlesung; Praktikum , ,Voraussetzungen nach , , ,• introspection & analysis techniques , , ,Seite 56   Inhaltsverzeichnis 
218,Logik für Wirtschaftsinformatiker ,Logistik Netzwerke , ,ML , , ,M.Sc. ab 1. Semester ,Wintersemester ,Professur für Maschinenbauinformatik ,Prof. Dr.-Ing. K.-H. Grote ,englisch ,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung ,Vorlesung; Übung , ,Prüfungsordnung: ,• Technische Informatik I , ,• optimization techniques ,Leistungen: , ,     
219,Logik II: Theorie und Anwendungen ,Logistikprozessanalyse , , , , ,B.Sc. ab 6. Semester ,jedes Semester ,Professur für Praktische Informatik / Computational Intelligence ,Prof. Dr.-Ing. Ludger Deters ,--- , ,Vorlesung; Übung ,Präsenzzeit = 56 Stunden: ,Bestandene Klausur Biochemie ist Voraussetzung für Teilnahme ,• Technische Informatik II ,Seite 53   Inhaltsverzeichnis ,• advanced training strategies (e.g. teacher-student) ,Bearbeitung der Übungsaufgaben , , 
220,Logistik Netzwerke ,Logistik-Prozessführung , , , , ,B.Sc. ab 3. Semester; M.Sc. ab 1. Semester , ,Professur für Praktische Informatik / Computational Intelligence ,Prof. Dr.-Ing. Karl-Heinrich Grote ,deutsch , ,Vorlesung ,2 SWS Vorlesung ,am Praktikum ,• Programmierparadigmen ,     ,Zeitdiskrete und zeitkontinuierliche Markov-Ketten ,Prüfung: Klausur 120 min (auch für Schein) ,"Power Point, Tafel ",Auflage (28. März 2014). O'Reilly Verlag GmbH & Co. KG. ISBN 
221,Logistikprozessanalyse ,Logistiksystemplanung , , , , ,M.Sc. ab 3./ 4. Semester ,Wintersemester ,Professur für Angew. Informatik / Wirtschaftsinformatik II – ,Professur für Angewandte Informatik/ Rechnergestützte ,deutsch ,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung ,Vorlesung; Übung ,2 SWS Übung , ,• Algorithmen und Datenstrukturen , ,Anwendungen und Programmierung von Berechnungsverfahren , , ,978-3955616922 
222,Logistik-Prozessführung ,Mainframe Computing , , , , ,B.Sc. ab 2. Semester ,Sommersemester ,KMD ,Ingenieur-systeme ,deutsch , ,Vorlesung; Übung ,Selbstständige Arbeit = 124 Stunden: ,5 ,• Computernetze ,"Forschungsschwerpunkten der Universität anwenden, ",für Markov-Ketten , , ,"David Hanson, David R. Hanson. C Interfaces and "
223,Logistiksystemplanung ,Management of Global Large IT-Systems in International , , , , ,M.Sc. ab 1. Semester , ,Professur für Angewandte Informatik / Visualisierung ,"Dr. André Brechmann, LIN ",deutsch , ,"Masterarbeit, Kolloquium ",Vor- und Nachbearbeitung von Vorlesung und Übung , , ,insbesondere aus der Medizin und dem Ingenieurwesen ,Methode der zusätzlichen Variablen , , ,Implementations: Techniques for Creating Reusable Software. 1. 
224,Mainframe Computing ,Companies , , , , ,M.Sc. ab 1. Semester ,Wintersemester ,Professur für Data and Knowledge Engineering ,FIN: Prof. Dr.-Ing. Sebastian Stober ,deutsch ,FIN: B.Sc. CV ,Vorlesung; Übung; Praktikum ,Bearbeiten von Übungs- und Programmieraufgaben ,Voraussetzungen nach , , ,Proxel-Simulation und Phasenverteilungen ,Die Modulprüfung setzt sich kumulativ aus den geforderten ,"Git, live coding, MOOCs, bar camp ",Auflage (2. Januar 1997). Pearson Education. ISBN 978-
225,Management of Global Large IT-Systems in International ,Marketing , , , , ,M.Sc. ab 1. Semester ,Sommersemester ,Prof. Mesut Günes ,Dr. Bernd Reichel ,deutsch ,FIN: B.Sc. INF ,Vorlesung; Übung , ,Prüfungsordnung: , ,The goal of this lecture is to enable students to effectively ,Modellierung mit verborgenen Modellen ,Studienleistungen zusammen. , ,0201498417 
226,Companies ,Machine Learning , , , , ,B.Sc. ab 1. Semester ,Wintersemester ,angebotsspezifisch ,"Dr.-Ing. Eike Schallehn, Dr.rer. pol. Frank Lesske ",deutsch ,FIN: B.Sc. INGINF ,Vorlesung; Übung , , , ,advance existing (database) technology by finding and solving ,Programmieren von Lösungsverfahren für verschiedene ,Die Modulprüfung setzt sich aus der gemittelten Note , ,"Heinz Peter Gumm, Manfred Sommer. Einführung in die "
227,Marketing ,Master Thesis , , , , ,B.Sc. ab 2. Semester ,Wintersemester ,Professur für Visual Computing ,Prof. Dr. Till Mossakowski ,deutsch ,FIN: B.Sc. WIF ,Vorlesung ,Präsenzzeiten: ,6 ,Seite 142   Inhaltsverzeichnis ,"complex problems in a self-driven manner. To achieve this goal, ",Modellklassen ,"zusammen, die in den beiden Vorlesungsklausuren erzielt wird. ", ,Informatik. 10. Auflage (1. Januar 2013). De Gruyter 
228,Maschinelles Lernen ,Materialflusslehre , , , , ,B.Sc. ab 3. Semester , ,Dr.-Ing. Christian Braune ,Prof. Dr. Till Mossakowski ,deutsch ,FIN: B.Sc. ,Vorlesung; Übung ,3 SWS , ,     ,students will advance their problem solving skills from guided ,Modellierung und Lösung von Fragestellungen aus der Medizin ,Studienleistungen: Studienbegleitendes Prüfen ,Seite 382   Inhaltsverzeichnis ,Oldenbourg. ISBN 978-3486706413 
229,Masterarbeit ,Materialflusstechnik I , , , , ,M.Sc. ab 1. Semester , ,FIN-ISG  / Lehrstuhl Bildverarbeitung/Bildverstehen ,Dr. Bernd Reichel ,deutsch , ,Vorlesung; Übung ,4 Credit Points = 4 x30h (42 h Präsenzzeit + 78 h ,Voraussetzungen nach , ,"(i.e, one gets an imperative description on how to do it), over ",und dem Ingenieurwesen ,(Vorlesungsklausur jeweils am Ende des Semesters); Es sind zwei ,     ,"Alfons Kemper, André Eickler. Datenbanksysteme: Eine "
